"Page","Source","Review priority","Status","Direct imports","Next acceptance checks"
"RetreadClaims","src/pages/RetreadClaims.jsx","P1 candidate","Not end-to-end verified","react; ../components/ui/TablePagination; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/NotInUseNotice; ../contexts/SettingsContext; ../lib/formatters; ../lib/safeError; ../lib/api/retreadClaims; ../lib/retreadClaimsAnalytics; ../lib/exportUtils; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"RetreadManagement","src/pages/RetreadManagement.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/supabase; ../components/workflow/EntityApprovalPanel; ../lib/fetchAll; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/TenantContext; ../lib/exportUtils; ../lib/formatters; ../lib/safeError; ../components/ui/PageHeader; ../components/ui/NotInUseNotice; ../components/EmailPdfButton; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Rfid","src/pages/Rfid.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/rfid; ../lib/rfid; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"RfidRegistry","src/pages/RfidRegistry.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; lucide-react; ../lib/supabase; ../contexts/AuthContext; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/RfidScanner; ../lib/safeError; ../components/ui/TablePagination; ../lib/fetchAll","Exercise primary action, denied access, scope change, error/retry and filtered export."
"RoiCalculator","src/pages/RoiCalculator.jsx","P2 workflow review","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/formatters; ../lib/tyreRoi","Exercise primary action, denied access, scope change, error/retry and filtered export."
"RootCauseEngine","src/pages/RootCauseEngine.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/supabase; ../lib/fetchAll; ../lib/exportUtils; ../lib/safeError; ../lib/useLatestRequest; ../contexts/SettingsContext; ../components/ui/PageHeader; ../components/ui/SectionTabs","Exercise primary action, denied access, scope change, error/retry and filtered export."
"RotationOptimizer","src/pages/RotationOptimizer.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; react-chartjs-2; chart.js; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/rotationOptimizer; ../lib/rotationOptimizer; ../lib/exportUtils; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"RotationSchedule","src/pages/RotationSchedule.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/supabase; ../lib/api/rotations; ../lib/tyrePositions; ../contexts/SettingsContext; ../contexts/TenantContext; ../lib/exportUtils; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/workflow/EntityApprovalPanel; ../components/EmptyState; ../lib/formatters; ../lib/safeError; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"RouteOptimization","src/pages/RouteOptimization.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/routePlans; ../lib/routePlans; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client; ../lib/useLatestRequest","Exercise primary action, denied access, scope change, error/retry and filtered export."
"RuleBuilder","src/pages/RuleBuilder.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; lucide-react; ../lib/api/businessRules; ../lib/safeError","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"SafetyCompliance","src/pages/SafetyCompliance.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/api/analyticsReads; ../lib/tyrePositions; ../contexts/SettingsContext; ../contexts/TenantContext; ../lib/exportUtils; ../components/ui/PageHeader; ../components/ui/TablePagination; ../lib/formatters; ../lib/safeError; ../lib/useLatestRequest; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"SanyDelayPenalty","src/pages/SanyDelayPenalty.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/sanyDelayPenalty; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"SanyInvoices","src/pages/SanyInvoices.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../components/costm3/LedgerPage; ../components/costm3/LedgerMonthlySummary; ../components/costm3/SanyInvoiceLinesModal; ../lib/api/costPerM3","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ScheduledReports","src/pages/ScheduledReports.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; lucide-react; ../lib/supabase; ../lib/api; ../lib/safeError; ../contexts/AuthContext; ../contexts/LanguageContext; ../contexts/SettingsContext; ../contexts/TenantContext; ../components/ui/SegmentedControl; ../components/ui/TablePagination; ../components/workflow/EntityApprovalPanel; ../lib/exportUtils; ../lib/api/scheduledReports; ../lib/api/accidentReportTemplates; ../lib/inspectionCoverage","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"ScoCosts","src/pages/ScoCosts.jsx","P2 workflow review","Not end-to-end verified","lucide-react; ../components/costm3/LedgerPage; ../components/costm3/LedgerMonthlySummary; ../lib/api/costPerM3","Exercise primary action, denied access, scope change, error/retry and filtered export."
"SecurityCenter","src/pages/SecurityCenter.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../contexts/AuthContext; ../components/ui/PageHeader; ../components/ui/TablePagination; ../lib/securityCenter; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"SerialTracker","src/pages/SerialTracker.jsx","P2 workflow review","Not end-to-end verified","react; ../lib/api/serialTracker; ../contexts/SettingsContext; ../lib/exportUtils; ../lib/formatters; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/ui/TablePagination; ../components/EmptyState; ../lib/safeError; ../contexts/AuthContext; ../lib/api/tyreExchange; ../lib/api/assetMaster","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ServiceRequests","src/pages/ServiceRequests.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/serviceRequests; ../lib/serviceRequests; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Settings","src/pages/Settings.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; ../lib/api/settings; ../contexts/AuthContext; ../contexts/LanguageContext; ../components/LanguageSwitcher; ../components/ReleaseNotes; ../components/settings/AppearancePanel; ../components/settings/MySignaturePanel; ../components/settings/FeatureFlagsPanel; ../contexts/SettingsContext; lucide-react; framer-motion; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/TablePagination; ../lib/emailService; ../components/TwoFactorSetup; ../lib/api/notificationPreferences; ../lib/api/accountDeletion; ../lib/notificationPrefs; ../lib/safeError; ../lib/accountRecovery","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"ShiftScheduling","src/pages/ShiftScheduling.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/shifts; ../lib/shifts; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Exercise primary action, denied access, scope change, error/retry and filtered export."
"SiteComparison","src/pages/SiteComparison.jsx","P2 workflow review","Not end-to-end verified","react; ../contexts/LanguageContext; ../lib/supabase; ../lib/fetchAll; ../contexts/SettingsContext; ../lib/analyticsEngine; ../lib/exportUtils; ../lib/formatters; ../lib/safeError; lucide-react; framer-motion; ../components/ui/PageHeader; ../components/ui/Card; ../components/EmailPdfButton; ../components/ui/PeriodFilter; ../components/ui/SegmentedControl; chart.js; react-chartjs-2; ../components/ChartModal","Exercise primary action, denied access, scope change, error/retry and filtered export."
"SiteManagement","src/pages/SiteManagement.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; framer-motion; lucide-react; ../components/ui/Skeleton; ../components/ui/PageHeader; ../components/ui/TablePagination; ../lib/api/sites; ../contexts/AuthContext; ../contexts/SettingsContext; ../lib/exportUtils; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"SitesIntake","src/pages/SitesIntake.jsx","P2 workflow review","Not end-to-end verified","../components/costm3/LedgerPage; ../lib/api/costPerM3","Exercise primary action, denied access, scope change, error/retry and filtered export."
"SlaDashboard","src/pages/SlaDashboard.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../lib/safeError; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/slaRecords; ../lib/slaRecords; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"SpeedLimiter","src/pages/SpeedLimiter.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../contexts/SettingsContext; ../lib/api/speedLimiters; ../lib/speedLimiterAnalytics; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/safeError; ../lib/api/_client; there is nothing","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"SsoConfiguration","src/pages/SsoConfiguration.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../lib/safeError; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/ssoConfig; ../lib/ssoConfig; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"StockManagement","src/pages/StockManagement.jsx","P2 workflow review","Not end-to-end verified","react; ../lib/api; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/TenantContext; lucide-react; ../components/ui/Skeleton; ../components/workflow/EntityApprovalPanel; framer-motion; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/ui/TablePagination; ../lib/formatters; ../lib/safeError; ../lib/useLatestRequest; ../contexts/LanguageContext; chart.js; react-chartjs-2; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"StockReplenishment","src/pages/StockReplenishment.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/api/purchaseOrders; ../contexts/SettingsContext; ../contexts/AuthContext; ../contexts/TenantContext; ../lib/formatters; ../lib/exportUtils; ../contexts/LanguageContext; ../lib/safeError; ../components/ui/PageHeader; ../components/ui/TablePagination; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"StoreMaterialIssue","src/pages/StoreMaterialIssue.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/charts/EChart; ../components/ui/TablePagination; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/api/materialIssue; ../lib/api/materialMaster; ../lib/materialIssue; ../lib/governedCost; ../lib/reportColors; ../lib/formatters; ../lib/exportUtils; ../lib/safeError","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"SupplierDetail","src/pages/SupplierDetail.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; framer-motion; ../lib/api/supplierManagementApi; ../lib/analyticsEngine; ../lib/fetchAll; ../lib/safeError; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/formatters; ../contexts/LanguageContext; ../components/EmptyState; ../components/ui/Skeleton; lucide-react; chart.js; react-chartjs-2","Exercise primary action, denied access, scope change, error/retry and filtered export."
"SupplierManagement","src/pages/SupplierManagement.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; react-hook-form; @hookform/resolvers/zod; ../lib/validation/schemas; ../components/forms; ../lib/api/supplierManagementApi; ../lib/analyticsEngine; ../lib/fetchAll; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/safeError; ../lib/analytics/supplierScorecard; ../contexts/LanguageContext; ../components/ui/PageHeader; ../components/ui/TablePagination; ../components/ui/NotInUseNotice; ../components/EmptyState; ../components/workflow/EntityApprovalPanel; lucide-react; ../components/ui/Skeleton; react-router-dom; chart.js; react-chartjs-2","Exercise primary action, denied access, scope change, error/retry and filtered export."
"SupplierMarketplace","src/pages/SupplierMarketplace.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../lib/safeError; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/marketplace; ../lib/marketplace; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"SystemHealth","src/pages/SystemHealth.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../contexts/AuthContext; ../lib/cn; ../lib/safeError; ../components/ui/PageHeader; ../components/ui/Skeleton; ../lib/systemHealth","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Taas","src/pages/Taas.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/taas; ../lib/taas; ../lib/exportUtils; ../lib/formatters; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Tachograph","src/pages/Tachograph.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/tachographRecords; ../lib/tachographRecords; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"TcoCalculator","src/pages/TcoCalculator.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/TablePagination; ../components/EmailPdfButton; ../contexts/SettingsContext; ../lib/formatters; ../lib/exportUtils; ../lib/safeError; ../lib/fetchAll; ../lib/api/tyreRecords; ../lib/kpiEngine; ../lib/tco","Exercise primary action, denied access, scope change, error/retry and filtered export."
"TechnicianScorecard","src/pages/TechnicianScorecard.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/ui/TablePagination; ../contexts/SettingsContext; ../lib/formatters; ../lib/api/technicianScorecard; ../lib/api/users; ../lib/technicianScorecard; ../lib/safeError; ../lib/safeUrl; ../lib/exportUtils","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"TelematicsDevices","src/pages/TelematicsDevices.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; chart.js; react-chartjs-2; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/telematicsDevices; ../lib/telematicsAnalytics; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/safeError; ../lib/reportColors","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"TenantHealth","src/pages/TenantHealth.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../contexts/AuthContext; ../components/ui/PageHeader; ../lib/tenantHealth","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Terms","src/pages/Terms.jsx","P2 workflow review","Not end-to-end verified","../components/public/PublicTrustPage","Exercise primary action, denied access, scope change, error/retry and filtered export."
"TollTransactions","src/pages/TollTransactions.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/tollTransactions; ../lib/tollTransactions; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Tpms","src/pages/Tpms.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api; ../lib/tpms; ../lib/tpmsAnalytics; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination","Exercise primary action, denied access, scope change, error/retry and filtered export."
"TripReplay","src/pages/TripReplay.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/tripReplay; ../lib/tripReplay; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/safeError; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Trips","src/pages/Trips.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/trips; ../lib/trips; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"TyreAgeCompliance","src/pages/TyreAgeCompliance.jsx","P2 workflow review","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/EmailPdfButton; ../contexts/SettingsContext; ../lib/api/tyreAgeCompliance; ../lib/tyreAgeCompliance; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"TyreExchange","src/pages/TyreExchange.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/api/tyreExchange; ../components/workflow/EntityApprovalPanel; ../contexts/SettingsContext; ../contexts/TenantContext; ../contexts/AuthContext; ../lib/exportUtils; ../components/ui/PageHeader; ../components/ui/TablePagination; ../components/EmptyState; ../lib/formatters; ../lib/safeError; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"TyreFailureCpkBoard","src/pages/TyreFailureCpkBoard.jsx","P2 workflow review","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/DateField; ../contexts/SettingsContext; ../lib/formatters; ../lib/api/tyreRecords; ../lib/api/costSummary; ../lib/useLatestRequest; ../lib/tyreFailureBoard; ../lib/reportColors; ../lib/exportUtils; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"TyreLifecycle","src/pages/TyreLifecycle.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/supabase; ../lib/searchFilter; ../lib/fetchAll; ../contexts/SettingsContext; ../lib/exportUtils; ../lib/safeError; ../components/ui/PageHeader; ../components/EmailPdfButton; ../components/ui/PeriodFilter; ../components/tyre/TyreRunningLife; ../components/tyre/TyreConsumptionSection; ../components/tyre/TyreChangeTracking","Exercise primary action, denied access, scope change, error/retry and filtered export."
"TyrePassport","src/pages/TyrePassport.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; react-chartjs-2; chart.js; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/TablePagination; ../contexts/SettingsContext; ../lib/formatters; ../lib/api/tyrePassport; ../lib/tyrePassport; ../lib/safeError; ../lib/reportColors","Exercise primary action, denied access, scope change, error/retry and filtered export."
"TyrePool","src/pages/TyrePool.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/NotInUseNotice; ../contexts/SettingsContext; ../lib/api/tyrePool; ../lib/tyrePool; ../lib/formatters; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/safeError; ../lib/useLatestRequest","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"TyreRecords","src/pages/TyreRecords.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; @tanstack/react-virtual; react-hook-form; @hookform/resolvers/zod; ../lib/validation/schemas; ../components/forms; ../lib/api/tyreRecords; ../lib/api/tyreExchange; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/tyreClassifier; ../lib/formatters; ../hooks/useSupabaseQuery; ../hooks/useBulkSelect; ../components/BulkActionBar; ../components/CustomFieldsPanel; lucide-react; ../components/ui/PageHeader; ../components/ui/FilterBar; ../lib/cn; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"TyreScan","src/pages/TyreScan.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; lucide-react; ../components/TyreScanCamera; react-router-dom; ../contexts/LanguageContext","Exercise primary action, denied access, scope change, error/retry and filtered export."
"TyreScrapManagement","src/pages/TyreScrapManagement.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../components/ui/Skeleton; ../components/workflow/EntityApprovalPanel; ../components/tyre/ScrappedRegister; ../lib/api/tyreScrap; ../lib/fetchAll; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/TenantContext; ../lib/exportUtils; ../lib/formatters; ../components/ui/PageHeader; ../components/EmptyState; ../lib/safeError; ../lib/pdfEngine; ../components/ui/TablePagination","Exercise primary action, denied access, scope change, error/retry and filtered export."
"TyreServiceEvents","src/pages/TyreServiceEvents.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../contexts/SettingsContext; ../lib/formatters; ../lib/api/tyreServiceEvents; ../lib/tyreServiceEvents; ../lib/tyreServiceEventsAnalytics; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"TyreSizeAnalysis","src/pages/TyreSizeAnalysis.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; ../lib/supabase; ../lib/fetchAll; ../lib/tyrePositions; ../contexts/SettingsContext; ../contexts/TenantContext; ../contexts/LanguageContext; ../lib/exportUtils; lucide-react; chart.js; react-chartjs-2; ../components/ui/PageHeader; ../lib/safeError; ../lib/useLatestRequest; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"TyreSpecifications","src/pages/TyreSpecifications.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/EmptyState; ../lib/api/tyreSpecs; ../lib/tyreSpecCatalog; ../lib/tyreSpecPolicy; ../lib/tyrePositions; ../lib/api/tyreProcurement; ../lib/tyreValueAdvisor; ../lib/api/engineeringKpi; ../lib/kpiEngine; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/TenantContext; ../lib/exportUtils; ../lib/safeError; ../lib/pdfEngine; nothing matches the filters","Exercise primary action, denied access, scope change, error/retry and filtered export."
"UploadApprovals","src/pages/UploadApprovals.jsx","P2 workflow review","Not end-to-end verified","react; ../lib/supabase; ../contexts/AuthContext; ../contexts/LanguageContext; ../lib/api/imports; ../lib/api/pendingUploadDecisions; ../components/ui/PageHeader; ../lib/safeError; ../components/ui/TablePagination; ../lib/fetchAll; lucide-react","Exercise primary action, denied access, scope change, error/retry and filtered export."
"UploadData","src/pages/UploadData.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; ../lib/api; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/tyreClassifier; ../lib/tyrePositions; ../lib/auditLogger; framer-motion; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../lib/safeError; ../lib/import/exactDuplicate","Exercise primary action, denied access, scope change, error/retry and filtered export."
"UserManagement","src/pages/UserManagement.jsx","P1 candidate","Not end-to-end verified","react; ../contexts/LanguageContext; ../lib/api/users; ../contexts/AuthContext; lucide-react; framer-motion; ../components/ui/PageHeader; ../components/ui/TablePagination; ../components/AccessControlMatrix; ../components/OrgBrandingPanel; ../components/BrandLogoStudio; ../components/CountryAddressPanel; ../components/SitesMasterPanel; ../lib/safeError; Admin","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Vehicle360","src/pages/Vehicle360.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; lucide-react; ../contexts/SettingsContext; ../lib/api/vehicle360; ../lib/safeError; ../lib/analyticsEngine; ../components/ui/Gauge; ../components/ui/StatTile; ../components/ui/VehicleMap; ../components/ui/StatusBadge; ../components/LoadingState; ../components/EmptyState; ../components/ai/CopilotCard","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"VehicleCheckInOut","src/pages/VehicleCheckInOut.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/vehicleCheckInOut; ../lib/api/_client; ../lib/vehicleCheckInOut; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"VehicleHandover","src/pages/VehicleHandover.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/handoverReports; ../lib/handoverReports; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"VehicleHistory","src/pages/VehicleHistory.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; ../lib/api/vehicleHistory; ../lib/api/costSummary; ../lib/api/governedCost; ../contexts/SettingsContext; ../lib/analyticsEngine; ../lib/anomalyEngine; chart.js; react-chartjs-2; lucide-react; ../components/VehicleTyreDiagram; ../components/ui/PageHeader; ../components/ui/DateField; ../contexts/LanguageContext; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/assetHistory; ../lib/assetHistory; ../components/asset/AssetFullHistory","Exercise primary action, denied access, scope change, error/retry and filtered export."
